Last, First, Sex, Age, Race
MILLER,CAROL,F,0,BLACK
SPENCER,TIMOTHY,M,0,HISPANIC
JONES,JOSEPH,M,0,CAUCASIAN
AUCLAIR,MATTHEW,M,0,ASIAN
BUSH,VIRGINIA,F,1,CAUCASIAN
FERNANDEZ,EUGENIE,F,1,ASIAN
RAMOS,MICHAEL,M,1,CAUCASIAN
CHARLTON,MICHAEL,M,1,ASIAN
ARENA,SHARON,F,2,HISPANIC
BRUCE,THEODORE,M,2,CAUCASIAN
YOUNG,EUGENE,M,3,BLACK
BUTNER,MICAH,M,3,CAUCASIAN
ALLEN,CHRISTAL,F,3,ASIAN
GALLOWAY,CYNTHIA,F,4,CAUCASIAN
GEARY,JOYCE,F,4,ASIAN
KILBY,LOUIS,M,5,CAUCASIAN
REED,ANTONIO,M,5,CAUCASIAN
HARN,JENNIFER,F,5,ASIAN
FLICKINGER,HANS,M,5,HISPANIC
CRAVER,MARK,M,6,ASIAN
FRANCIS,JASON,M,7,BLACK
HICKS,PEGGY,F,7,ASIAN
BRINSON,MERYL,F,7,ASIAN
LAMP,LOREN,M,7,HISPANIC
HILBERT,EUGENE,M,8,HISPANIC
SPENCER,MIRIAM,F,8,ASIAN
BOOZER,CHARLES,M,9,ASIAN
LOUIS,KEVIN,M,10,HISPANIC
HUTCHINS,BARBARA,F,10,BLACK
WILSON,GREG,M,10,CAUCASIAN
KISER,STEVE,M,11,ASIAN
MILLER,MAGGIE,F,11,HISPANIC
MULDER,RACHEL,F,12,ASIAN
DUNLAP,ELVERA,F,12,HISPANIC
FOWLER,BRANDI,F,12,CAUCASIAN
FISHMAN,LOUISE,F,13,ASIAN
DIAZ,BILL,M,13,CAUCASIAN
CASH,ALBERTA,F,15,CAUCASIAN
LIGHTNER,ESTHER,F,15,BLACK
JONES,NOEL,M,15,HISPANIC
BRYANT,VIRGINIA,F,16,BLACK
HOUSTON,JOE,M,16,ASIAN
SCHROEDER,ODELL,M,16,ASIAN
KNOX,LUTHER,M,17,HISPANIC
MCELHANEY,SHAWN,M,17,BLACK
BROWN,GLADYS,F,18,BLACK
BROWN,NICHOLAS,M,18,BLACK
ROBINSON,JUSTINA,F,18,CAUCASIAN
RIVERA,CHRISTOPHER,M,18,CAUCASIAN
SHADWICK,TERRY,M,18,HISPANIC
DRAKE,MARY,F,18,ASIAN
APONTE,MARIE,F,18,HISPANIC
DANT,KEITH,M,19,ASIAN
CHANG,JAMES,M,19,ASIAN
NICHOLS,HALEY,F,19,HISPANIC
